




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
AIR ACRES                     2378                          1935                          81.37%
ARNOLD MILL                   3560                          3021                          84.86%
AVERY                         2445                          2068                          84.58%
BALL GROUND                   2800                          2339                          83.54%
BASCOMB                       3357                          2739                          81.59%
BELLS                         4038                          3159                          78.23%
BOOTH                         3354                          2807                          83.69%
BRADSHAW                      3521                          3039                          86.31%
BRIDGEMILL                    4187                          3485                          83.23%
CANTON                        4665                          3564                          76.40%
CARMEL                        3139                          2322                          73.97%
WOODSTOCK                     4697                          3566                          75.92%
CLAYTON                       2774                          2287                          82.44%
CONNS CREEK                   617                           493                           79.90%
DEER RUN                      2458                          2047                          83.28%
DIXIE                         4384                          3369                          76.85%
FREEHOME                      4262                          3570                          83.76%
HICKORY FLAT                  4424                          3666                          82.87%
HIGHTOWER                     2646                          2245                          84.85%
HILLSIDE                      2819                          2356                          83.58%
HOLLY SPRINGS                 2060                          1626                          78.93%
KELLOGG                       3943                          3065                          77.73%
LIBERTY                       6086                          4787                          78.66%
LITTLE RIVER                  5549                          4579                          82.52%
MACEDONIA                     3648                          3123                          85.61%
MOUNTAIN ROAD                 2584                          2144                          82.97%
OAK GROVE                     2806                          2217                          79.01%
R M MOORE                     2434                          2021                          83.03%
R T JONES                     1819                          1345                          73.94%
ROSECREEK                     3217                          2686                          83.49%
SALACOA                       539                           445                           82.56%
SIXES                         2444                          2100                          85.92%
SUTALLEE                      1874                          1575                          84.04%
TEASLEY                       5707                          4666                          81.76%
TOONIGH                       4961                          4104                          82.73%
UNION HILL                    3126                          2652                          84.84%
UNIVETER                      4100                          3355                          81.83%
VICTORIA                      2407                          1930                          80.18%
WALESKA                       2037                          1699                          83.41%
WILDCAT                       2534                          2060                          81.29%
WOODLANDS                     2871                          2430                          84.64%
NEESE                         5538                          4494                          81.15%
Total:                        138809                        113180                        81.54%

                                                                                                                                                                                                                                 President of the United States
                                                            DONALD J. TRUMP                                                                                                                                       HILLARY CLINTON                                                                                                                                       GARY JOHNSON                                                                                                                                          
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
WOODSTOCK                     4697                          1005                          116                           1719                          0                             2840                          2840                          
CLAYTON                       2774                          725                           60                            1227                          0                             2012                          2012                          
CONNS CREEK                   617                           205                           11                            224                           0                             440                           440                           
DEER RUN                      2458                          859                           69                            810                           1                             1739                          1739                          
DIXIE                         4384                          1176                          159                           1425                          2                             2762                          2762                          
FREEHOME                      4262                          1409                          147                           1550                          0                             3106                          3106                          
HICKORY FLAT                  4424                          1105                          130                           1907                          1                             3143                          3143                          
HIGHTOWER                     2646                          762                           72                            1142                          0                             1976                          1976                          
HILLSIDE                      2819                          717                           118                           1164                          0                             1999                          1999                          
HOLLY SPRINGS                 2060                          620                           51                            740                           1                             1412                          1412                          
KELLOGG                       3943                          1235                          93                            1185                          2                             2515                          2515                          
LIBERTY                       6086                          1519                          180                           2285                          2                             3986                          3986                          
LITTLE RIVER                  5549                          1341                          280                           2026                          1                             3648                          3648                          
MACEDONIA                     3648                          958                           103                           1694                          0                             2755                          2755                          
MOUNTAIN ROAD                 2584                          787                           78                            977                           0                             1842                          1842                          
OAK GROVE                     2806                          910                           71                            859                           0                             1840                          1840                          
R M MOORE                     2434                          787                           60                            953                           0                             1800                          1800                          
R T JONES                     1819                          376                           44                            707                           1                             1128                          1128                          
ROSECREEK                     3217                          954                           98                            1203                          0                             2255                          2255                          
SALACOA                       539                           272                           13                            104                           0                             389                           389                           
SIXES                         2444                          771                           71                            955                           0                             1797                          1797                          
SUTALLEE                      1874                          751                           36                            592                           0                             1379                          1379                          
TEASLEY                       5707                          1690                          161                           2166                          1                             4018                          4018                          
TOONIGH                       4961                          1378                          137                           1948                          0                             3463                          3463                          
UNION HILL                    3126                          1050                          109                           1165                          0                             2324                          2324                          
UNIVETER                      4100                          817                           121                           2002                          0                             2940                          2940                          
VICTORIA                      2407                          740                           56                            871                           2                             1669                          1669                          
WALESKA                       2037                          694                           68                            679                           1                             1442                          1442                          
WILDCAT                       2534                          732                           61                            961                           0                             1754                          1754                          
WOODLANDS                     2871                          1138                          71                            696                           0                             1905                          1905                          
NEESE                         5538                          1680                          188                           1764                          2                             3634                          3634                          
Totals:                       138809                        38766                         4285                          52466                         23                            95540                         95540                         

                                                                                         TAX COMMISSIONER
                                                            S. LITTLE (I) R                                                                                                                                       
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
AIR ACRES                     2378                          709                           105                           822                           1                             1637                          1637                          
ARNOLD MILL                   3560                          1054                          124                           1409                          0                             2587                          2587                          
AVERY                         2445                          619                           81                            1123                          0                             1823                          1823                          
BALL GROUND                   2800                          594                           57                            1416                          1                             2068                          2068                          
BASCOMB                       3357                          926                           92                            1232                          0                             2250                          2250                          
BELLS                         4038                          1308                          97                            1090                          2                             2497                          2497                          
BOOTH                         3354                          784                           149                           1438                          1                             2372                          2372                          
BRADSHAW                      3521                          706                           132                           1808                          0                             2646                          2646                          
BRIDGEMILL                    4187                          1136                          161                           1741                          1                             3039                          3039                          
CANTON                        4665                          936                           160                           1830                          0                             2926                          2926                          
CARMEL                        3139                          833                           93                            923                           0                             1849                          1849                          
WOODSTOCK                     4697                          1014                          118                           1745                          0                             2877                          2877                          
CLAYTON                       2774                          721                           64                            1212                          0                             1997                          1997                          
CONNS CREEK                   617                           207                           11                            222                           0                             440                           440                           
DEER RUN                      2458                          858                           71                            817                           1                             1747                          1747                          
DIXIE                         4384                          1190                          165                           1437                          2                             2794                          2794                          
FREEHOME                      4262                          1407                          147                           1556                          0                             3110                          3110                          
HICKORY FLAT                  4424                          1114                          130                           1895                          0                             3139                          3139                          
HIGHTOWER                     2646                          758                           73                            1141                          0                             1972                          1972                          
HILLSIDE                      2819                          727                           115                           1164                          0                             2006                          2006                          
HOLLY SPRINGS                 2060                          614                           50                            744                           1                             1409                          1409                          
KELLOGG                       3943                          1234                          97                            1197                          2                             2530                          2530                          
LIBERTY                       6086                          1530                          177                           2307                          2                             4016                          4016                          
LITTLE RIVER                  5549                          1362                          288                           2072                          1                             3723                          3723                          
MACEDONIA                     3648                          962                           103                           1695                          0                             2760                          2760                          
MOUNTAIN ROAD                 2584                          789                           75                            980                           0                             1844                          1844                          
OAK GROVE                     2806                          927                           71                            869                           0                             1867                          1867                          
R M MOORE                     2434                          777                           59                            931                           0                             1767                          1767                          
R T JONES                     1819                          370                           37                            699                           1                             1107                          1107                          
ROSECREEK                     3217                          961                           99                            1211                          0                             2271                          2271                          
