




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
BROCKETT ELEM                 2139                          170                           19                            14                            341                           2                             0                             546                           312                           42                            68                            617                           6                             3                             1048                          24                            4                             1                             33                            0                             0                             62                            1656                          
BROOKHAVEN                    2899                          514                           30                            10                            430                           6                             3                             993                           478                           69                            21                            591                           8                             2                             1169                          75                            10                            0                             57                            0                             0                             142                           2304                          
BROWNS MILL ELEM              3105                          35                            10                            12                            13                            10                            0                             80                            719                           78                            409                           884                           208                           2                             2300                          19                            0                             1                             11                            5                             0                             36                            2416                          
BURGESS ELEM                  2527                          78                            4                             23                            14                            14                            0                             133                           684                           70                            261                           440                           274                           1                             1730                          48                            0                             6                             10                            12                            0                             76                            1939                          
CANBY LANE ELEM               1588                          13                            1                             16                            1                             0                             0                             31                            392                           43                            376                           241                           30                            3                             1085                          2                             1                             2                             2                             1                             0                             8                             1124                          
CANDLER                       2588                          42                            1                             14                            9                             1                             0                             67                            580                           61                            503                           332                           36                            6                             1518                          19                            0                             15                            9                             1                             0                             44                            1629                          
CANDLER-MURPHEY CANDLER ELEM     2460                          31                            15                            12                            9                             66                            0                             133                           531                           64                            270                           302                           535                           3                             1705                          16                            0                             3                             1                             7                             0                             27                            1865                          
CEDAR GROVE ELEM              3235                          35                            25                            10                            21                            1                             0                             92                            683                           222                           241                           1267                          30                            8                             2451                          9                             7                             2                             15                            0                             0                             33                            2576                          
CEDAR GROVE MIDDLE            1339                          7                             2                             0                             14                            0                             0                             23                            290                           31                            61                            424                           8                             10                            824                           5                             0                             0                             0                             0                             0                             5                             852                           
CEDAR GROVE SOUTH             3011                          36                            12                            5                             22                            0                             0                             75                            826                           45                            271                           1059                          35                            3                             2239                          15                            1                             0                             6                             1                             0                             23                            2337                          
CHAMBLEE                      1402                          125                           17                            1                             211                           7                             0                             361                           198                           36                            9                             385                           5                             0                             633                           32                            1                             0                             30                            0                             1                             64                            1058                          
CHAMBLEE 2                    2212                          215                           30                            4                             427                           10                            1                             687                           276                           42                            11                            630                           11                            0                             970                           48                            6                             0                             62                            1                             0                             117                           1774                          
CHAPEL HILL ELEM              2597                          27                            5                             5                             11                            1                             0                             49                            658                           64                            305                           818                           62                            6                             1913                          14                            0                             2                             7                             0                             0                             23                            1985                          
CHESNUT ELEM                  1862                          185                           27                            7                             103                           94                            1                             417                           350                           51                            36                            237                           260                           0                             934                           32                            3                             1                             14                            8                             0                             58                            1409                          
CLAIREMONT EAST               2815                          158                           20                            154                           19                            0                             0                             351                           629                           105                           1109                          118                           5                             0                             1966                          60                            1                             33                            3                             0                             0                             97                            2414                          
CLAIREMONT WEST               2847                          162                           42                            104                           20                            1                             0                             329                           718                           158                           1007                          101                           13                            0                             1997                          47                            4                             34                            6                             0                             0                             91                            2417                          
CLAIRMONT ROAD                2573                          207                           74                            54                            83                            7                             1                             426                           574                           147                           358                           337                           7                             1                             1424                          62                            5                             10                            8                             1                             0                             86                            1936                          
