




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
AUSTIN DRIVE                  1891                          286                           23                            352                           78                            15                            4                             758                           232                           18                            291                           63                            15                            3                             622                           1380                          
AVONDALE                      2487                          612                           59                            656                           23                            3                             0                             1353                          567                           56                            637                           23                            3                             0                             1286                          2639                          
AVONDALE HIGH - 04            1468                          265                           38                            407                           49                            8                             0                             767                           259                           37                            395                           46                            7                             0                             744                           1511                          
AVONDALE HIGH - 05            1240                          216                           43                            343                           37                            14                            0                             653                           192                           39                            308                           30                            12                            0                             581                           1234                          
BETHUNE MIDDLE                3549                          447                           89                            528                           307                           131                           5                             1507                          414                           82                            485                           296                           135                           6                             1418                          2925                          
BOULDERCREST RD               1589                          330                           18                            84                            344                           7                             1                             784                           292                           19                            64                            298                           7                             1                             681                           1465                          
BOULEVARD                     3756                          743                           69                            496                           136                           525                           0                             1969                          661                           74                            463                           130                           504                           0                             1832                          3801                          
BRIAR VISTA ELEM              2386                          583                           71                            163                           458                           27                            0                             1302                          542                           73                            153                           426                           27                            0                             1221                          2523                          
BRIARCLIFF                    2508                          601                           94                            75                            444                           5                             2                             1221                          559                           87                            75                            385                           6                             2                             1114                          2335                          
BRIARLAKE ELEM                1545                          322                           49                            11                            359                           8                             0                             749                           314                           43                            9                             316                           7                             0                             689                           1438                          
BRIARWOOD                     1918                          444                           55                            12                            464                           8                             1                             984                           397                           56                            10                            430                           7                             0                             900                           1884                          
BROCKETT                      2064                          428                           50                            32                            461                           1                             1                             973                           386                           47                            32                            434                           3                             1                             903                           1876                          
BROCKETT ELEM                 2139                          290                           39                            45                            626                           6                             2                             1008                          249                           36                            33                            541                           5                             2                             866                           1874                          
BROOKHAVEN                    2899                          709                           65                            17                            691                           11                            2                             1495                          654                           61                            17                            643                           8                             2                             1385                          2880                          
BROWNS MILL ELEM              3105                          510                           68                            268                           568                           149                           1                             1564                          441                           66                            255                           536                           142                           1                             1441                          3005                          
BURGESS ELEM                  2527                          533                           60                            179                           308                           201                           1                             1282                          482                           61                            155                           285                           187                           1                             1171                          2453                          
CANBY LANE ELEM               1588                          237                           28                            212                           151                           13                            1                             642                           202                           24                            206                           141                           15                            2                             590                           1232                          
CANDLER                       2588                          358                           48                            341                           201                           20                            3                             971                           360                           49                            312                           198                           23                            4                             946                           1917                          
CANDLER-MURPHEY CANDLER ELEM  2460                          337                           65                            174                           197                           369                           2                             1144                          321                           55                            180                           185                           348                           1                             1090                          2234                          
CEDAR GROVE ELEM              3235                          467                           49                            159                           829                           16                            4                             1524                          412                           47                            130                           739                           21                            6                             1355                          2879                          
CEDAR GROVE MIDDLE            1339                          184                           24                            38                            278                           7                             7                             538                           168                           25                            33                            256                           6                             6                             494                           1032                          
CEDAR GROVE SOUTH             3011                          563                           45                            169                           720                           18                            2                             1517                          513                           43                            150                           676                           25                            3                             1410                          2927                          
CHAMBLEE                      1402                          211                           30                            4                             386                           8                             0                             639                           182                           26                            5                             343                           8                             0                             564                           1203                          
CHAMBLEE 2                    2212                          346                           49                            7                             738                           14                            1                             1155                          305                           45                            4                             656                           13                            1                             1024                          2179                          
CHAPEL HILL ELEM              2597                          449                           52                            206                           526                           41                            4                             1278                          406                           51                            178                           481                           43                            4                             1163                          2441                          
CHESNUT ELEM                  1862                          353                           51                            23                            216                           227                           0                             870                           310                           49                            20                            186                           191                           1                             757                           1627                          
CLAIREMONT EAST               2815                          562                           85                            920                           110                           3                             0                             1680                          527                           83                            852                           103                           2                             0                             1567                          3247                          
CLAIREMONT WEST               2847                          621                           145                           829                           87                            8                             0                             1690                          580                           137                           773                           79                            9                             0                             1578                          3268                          
CLAIRMONT ROAD                2573                          546                           133                           300                           290                           8                             1                             1278                          509                           139                           290                           267                           6                             1                             1212                          2490                          
CLARKSTON                     4226                          689                           55                            468                           282                           18                            3                             1515                          633                           60                            430                           282                           13                            1                             1419                          2934                          
CLIFTON ELEM                  1328                          207                           18                            44                            302                           8                             0                             579                           207                           19                            43                            272                           2                             0                             543                           1122                          
COLUMBIA DRIVE                1867                          242                           42                            247                           165                           15                            3                             714                           221                           36                            215                           165                           13                            3                             653                           1367                          
COLUMBIA ELEM                 1358                          198                           17                            63                            187                           3                             2                             470                           178                           18                            45                            170                           5                             1                             417                           887                           
COLUMBIA MIDDLE               1625                          207                           24                            64                            285                           5                             2                             587                           185                           23                            57                            274                           5                             2                             546                           1133                          
CORALWOOD                     2752                          532                           131                           128                           796                           12                            1                             1600                          489                           130                           116                           726                           10                            1                             1472                          3072                          
COVINGTON                     1668                          201                           24                            335                           24                            6                             5                             595                           212                           24                            337                           25                            4                             6                             608                           1203                          
COVINGTON HWY LIBRARY         953                           96                            10                            95                            16                            5                             0                             222                           103                           10                            103                           13                            4                             0                             233                           455                           
CROSS KEYS HIGH               1748                          378                           55                            25                            431                           9                             2                             900                           364                           53                            23                            389                           6                             2                             837                           1737                          
CROSSROADS                    2293                          301                           36                            467                           86                            189                           2                             1081                          298                           37                            416                           83                            164                           2                             1000                          2081                          
DORAVILLE NORTH               2216                          440                           42                            24                            282                           49                            2                             839                           393                           41                            25                            266                           43                            1                             769                           1608                          
DORAVILLE SOUTH               1010                          245                           18                            7                             181                           5                             0                             456                           211                           14                            11                            178                           5                             0                             419                           875                           
DRESDEN ELEM                  3844                          753                           93                            57                            834                           11                            1                             1749                          666                           93                            46                            784                           11                            1                             1601                          3350                          
DRUID HILLS HIGH              2535                          769                           94                            319                           124                           18                            2                             1326                          739                           90                            305                           119                           21                            2                             1276                          2602                          
DUNAIRE ELEM                  1603                          267                           25                            362                           33                            11                            3                             701                           240                           25                            330                           30                            13                            1                             639                           1340                          
DUNWOODY                      2468                          405                           89                            22                            82                            547                           2                             1147                          369                           76                            24                            76                            501                           2                             1048                          2195                          
DUNWOODY HIGH                 1772                          329                           99                            10                            83                            437                           1                             959                           286                           94                            9                             72                            373                           0                             834                           1793                          
DUNWOODY LIBRARY              2234                          380                           111                           12                            50                            650                           1                             1204                          344                           103                           10                            46                            563                           1                             1067                          2271                          
EAST LAKE ELEM                3211                          483                           99                            523                           230                           212                           0                             1547                          430                           90                            464                           216                           185                           1                             1386                          2933                          
EMBRY HILLS                   1695                          306                           55                            14                            438                           2                             0                             815                           274                           56                            13                            390                           5                             1                             739                           1554                          
EMORY ROAD                    1130                          246                           101                           133                           66                            4                             3                             553                           243                           98                            133                           66                            4                             3                             547                           1100                          
EMORY SOUTH                   2943                          631                           107                           478                           241                           119                           1                             1577                          579                           108                           457                           227                           109                           0                             1480                          3057                          
EPWORTH                       3505                          795                           117                           646                           141                           344                           3                             2046                          733                           113                           622                           132                           321                           2                             1923                          3969                          
EVANSDALE ELEM                2389                          410                           76                            43                            601                           9                             0                             1139                          397                           73                            37                            533                           8                             0                             1048                          2187                          
FAIRINGTON ELEM               3724                          600                           40                            283                           286                           228                           1                             1438                          525                           37                            285                           243                           207                           1                             1298                          2736                          
FERNBANK ELEM                 1937                          436                           85                            431                           101                           29                            1                             1083                          415                           86                            402                           100                           29                            1                             1033                          2116                          
FLAKES MILL FIRE STATION      1569                          292                           22                            80                            331                           18                            0                             743                           239                           22                            68                            295                           12                            0                             636                           1379                          
FLAT ROCK ELEM                2332                          302                           49                            193                           249                           295                           1                             1089                          291                           50                            198                           238                           292                           1                             1070                          2159                          
FLAT SHOALS                   1825                          218                           40                            54                            366                           6                             2                             686                           197                           48                            39                            331                           7                             3                             625                           1311                          
FLAT SHOALS ELEM              1744                          282                           21                            53                            331                           7                             0                             694                           240                           23                            44                            296                           6                             0                             609                           1303                          
FLAT SHOALS LIBRARY           1961                          297                           30                            83                            320                           8                             3                             741                           251                           31                            77                            290                           5                             3                             657                           1398                          
FLAT SHOALS PARKWAY           2816                          354                           60                            169                           784                           28                            2                             1397                          306                           54                            142                           698                           19                            2                             1221                          2618                          
FREEDOM MIDDLE                2419                          382                           53                            453                           80                            59                            6                             1033                          366                           52                            448                           77                            57                            7                             1007                          2040                          
GEORGETOWN SQUARE             3139                          601                           58                            25                            150                           548                           3                             1385                          510                           56                            18                            137                           490                           0                             1211                          2596                          
GLENHAVEN                     1321                          252                           15                            254                           33                            18                            2                             574                           211                           13                            208                           28                            16                            2                             478                           1052                          
GLENNWOOD - 04                770                           186                           27                            197                           25                            4                             0                             439                           176                           24                            191                           26                            3                             0                             420                           859                           
GLENNWOOD - 05                1117                          218                           56                            256                           28                            5                             0                             563                           206                           54                            253                           29                            5                             0                             547                           1110                          
GLENWOOD ROAD                 1582                          248                           32                            222                           70                            34                            2                             608                           218                           26                            200                           69                            30                            3                             546                           1154                          
GRESHAM ROAD                  2737                          511                           43                            139                           481                           59                            0                             1233                          438                           39                            138                           397                           55                            2                             1069                          2302                          
HAMBRICK ELEM                 2703                          402                           51                            513                           126                           16                            3                             1111                          375                           50                            451                           122                           14                            2                             1014                          2125                          
HARRIS-MARGARET HARRIS ED     1563                          446                           37                            64                            323                           7                             1                             878                           404                           34                            60                            315                           7                             1                             821                           1699                          
HARRIS-NARVIE J. HARRIS ELEM  3065                          411                           42                            165                           767                           29                            0                             1414                          396                           44                            140                           698                           22                            1                             1301                          2715                          
HAWTHORNE ELEM                3166                          648                           75                            70                            763                           23                            0                             1579                          598                           73                            63                            688                           17                            0                             1439                          3018                          
HENDERSON MILL ELEM           2595                          405                           74                            36                            719                           3                             1                             1238                          368                           75                            33                            651                           4                             1                             1132                          2370                          
HUGH HOWELL                   1569                          298                           45                            52                            400                           6                             0                             801                           262                           37                            53                            354                           5                             0                             711                           1512                          
HUNTLEY HILLS ELEM            2560                          498                           51                            25                            491                           67                            1                             1133                          448                           50                            24                            440                           66                            1                             1029                          2162                          
IDLEWOOD ELEM                 1739                          291                           23                            135                           283                           4                             1                             737                           282                           23                            140                           269                           5                             1                             720                           1457                          
INDIAN CREEK ELEM             1670                          255                           21                            259                           34                            4                             1                             574                           234                           26                            255                           31                            2                             2                             550                           1124                          
JOHNSON ESTATES               1077                          218                           58                            124                           156                           32                            0                             588                           205                           58                            123                           147                           31                            1                             565                           1153                          
JOLLY ELEM                    2513                          374                           51                            370                           166                           6                             3                             970                           333                           49                            338                           150                           4                             2                             876                           1846                          
KELLEY CHAPEL ROAD            1133                          176                           22                            90                            240                           13                            1                             542                           168                           21                            92                            216                           18                            3                             518                           1060                          
KELLEY LAKE ELEM              2401                          365                           38                            126                           367                           7                             2                             905                           318                           40                            107                           321                           6                             3                             795                           1700                          
KING-ML KING JR HIGH          3652                          411                           90                            292                           1057                          97                            1                             1948                          363                           82                            261                           925                           93                            1                             1725                          3673                          
KINGSLEY ELEM                 2208                          446                           122                           21                            131                           412                           0                             1132                          365                           122                           18                            114                           360                           0                             979                           2111                          
KNOLLWOOD ELEM                1894                          367                           29                            308                           77                            6                             3                             790                           332                           33                            296                           65                            8                             4                             738                           1528                          
KITTREDGE ELEM                1884                          357                           82                            15                            516                           39                            2                             1011                          323                           75                            15                            456                           37                            1                             907                           1918                          
LAKESIDE HIGH                 2760                          549                           127                           45                            770                           7                             0                             1498                          534                           125                           41                            726                           5                             0                             1431                          2929                          
LAVISTA                       2602                          651                           81                            123                           419                           18                            0                             1292                          578                           82                            110                           386                           20                            0                             1176                          2468                          
LAVISTA ROAD                  1856                          449                           72                            173                           268                           16                            0                             978                           431                           67                            166                           243                           17                            0                             924                           1902                          
LIN-MARY LIN ELEM             2609                          579                           98                            447                           140                           234                           3                             1501                          525                           98                            422                           132                           222                           2                             1401                          2902                          
