




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
ELLENWOOD                     4498                          3500                          77.81%
FOREST PARK 1                 2299                          1334                          58.03%
FOREST PARK 2                 1828                          1187                          64.93%
FOREST PARK 3                 1763                          1131                          64.15%
FOREST PARK 4                 1248                          890                           71.31%
FOREST PARK 5                 2566                          1577                          61.46%
FOREST PARK 6                 1022                          697                           68.20%
JONESBORO 1                   3585                          2451                          68.37%
JONESBORO 2                   3230                          2187                          67.71%
JONESBORO 3                   3049                          2258                          74.06%
JONESBORO 4                   1636                          1016                          62.10%
JONESBORO 5                   1539                          1149                          74.66%
JONESBORO 6                   2155                          1764                          81.86%
JONESBORO 7                   2359                          1777                          75.33%
JONESBORO 8                   2636                          1733                          65.74%
JONESBORO 9                   1068                          628                           58.80%
JONESBORO 10                  2296                          1431                          62.33%
JONESBORO 11                  2891                          2239                          77.45%
JONESBORO 12                  2145                          1475                          68.76%
JONESBORO 13                  1457                          1161                          79.68%
JONESBORO 14                  3439                          2736                          79.56%
JONESBORO 15                  2010                          1232                          61.29%
JONESBORO 16                  1646                          1084                          65.86%
JONESBORO 17                  3541                          2402                          67.83%
JONESBORO 18                  2309                          1622                          70.25%
LAKE CITY                     2144                          1389                          64.79%
LOVEJOY 1                     2898                          2168                          74.81%
LOVEJOY 2                     2342                          1665                          71.09%
LOVEJOY 3                     4664                          3370                          72.26%
LOVEJOY 4                     3070                          2310                          75.24%
LOVEJOY 5                     2221                          1564                          70.42%
MORROW 1                      2198                          1505                          68.47%
MORROW 2                      1500                          1052                          70.13%
MORROW 3                      3277                          2251                          68.69%
MORROW 4                      1482                          1007                          67.95%
MORROW 5                      3817                          2924                          76.60%
MORROW 6                      2058                          1511                          73.42%
MORROW 7                      1429                          959                           67.11%
MORROW 8                      2182                          1657                          75.94%
MORROW 9                      1059                          760                           71.77%
OAK 1                         1750                          1154                          65.94%
OAK 2                         1282                          760                           59.28%
OAK 3                         2945                          1816                          61.66%
OAK 4                         2655                          1758                          66.21%
PANHANDLE 1                   2303                          1826                          79.29%
PANHANDLE 2                   2178                          1712                          78.60%
RIVERDALE 1                   1798                          1387                          77.14%
RIVERDALE 2                   2468                          1707                          69.17%
RIVERDALE 3                   2690                          1823                          67.77%
RIVERDALE 4                   3093                          1987                          64.24%
RIVERDALE 5                   2248                          1580                          70.28%
RIVERDALE 6                   2422                          1462                          60.36%
RIVERDALE 7                   1836                          1061                          57.79%
RIVERDALE 8                   2171                          1671                          76.97%
RIVERDALE 9                   2030                          1421                          70.00%
RIVERDALE 10                  2046                          1220                          59.63%
RIVERDALE 11                  1449                          1068                          73.71%
RIVERDALE 12                  2244                          1677                          74.73%
Total:                        134164                        93843                         69.95%

                                                                                                                                                                                                                                 President of the United States
                                                            DONALD J. TRUMP                                                                                                                                       HILLARY CLINTON                                                                                                                                       GARY JOHNSON                                                                                                                                          
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
RIVERDALE 3                   2690                          32                            9                             46                            0                             87                            606                           45                            1031                          5                             1687                          7                             0                             9                             0                             16                            1790                          
RIVERDALE 4                   3093                          58                            19                            116                           0                             193                           675                           55                            1016                          4                             1750                          11                            1                             9                             0                             21                            1964                          
RIVERDALE 5                   2248                          40                            14                            54                            0                             108                           562                           26                            826                           2                             1416                          14                            2                             11                            0                             27                            1551                          
RIVERDALE 6                   2422                          68                            20                            109                           0                             197                           618                           31                            571                           2                             1222                          8                             0                             14                            0                             22                            1441                          
RIVERDALE 7                   1836                          44                            6                             84                            0                             134                           439                           22                            439                           1                             901                           5                             0                             6                             0                             11                            1046                          
RIVERDALE 8                   2171                          50                            19                            93                            0                             162                           442                           37                            994                           1                             1474                          9                             0                             8                             1                             18                            1654                          
RIVERDALE 9                   2030                          54                            9                             84                            0                             147                           486                           44                            699                           2                             1231                          12                            0                             10                            0                             22                            1400                          
RIVERDALE 10                  2046                          21                            1                             22                            0                             44                            538                           13                            595                           4                             1150                          6                             0                             6                             0                             12                            1206                          
RIVERDALE 11                  1449                          19                            4                             37                            0                             60                            317                           34                            638                           1                             990                           4                             0                             4                             0                             8                             1058                          
RIVERDALE 12                  2244                          54                            13                            47                            1                             115                           545                           57                            923                           1                             1526                          8                             2                             10                            0                             20                            1661                          
Totals:                       134164                        4119                          889                           7621                          16                            12645                         28567                         2179                          47341                         133                           78220                         794                           54                            794                           5                             1647                          92512                         

                                                                                                                                                                                                                                 United States Senator, Isakson
                                                            JOHNNY ISAKSON (I)                                                                                                                                    JIM BARKSDALE                                                                                                                                         ALLEN BUCKLEY                                                                                                                                         
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
ELLENWOOD                     4498                          77                            24                            220                           0                             321                           798                           78                            2041                          3                             2920                          24                            0                             34                            0                             58                            3299                          
FOREST PARK 1                 2299                          143                           21                            141                           0                             305                           493                           28                            346                           1                             868                           32                            1                             16                            0                             49                            1222                          
FOREST PARK 2                 1828                          110                           19                            84                            0                             213                           407                           31                            407                           0                             845                           23                            2                             12                            0                             37                            1095                          
FOREST PARK 3                 1763                          95                            18                            122                           0                             235                           370                           66                            316                           0                             752                           17                            2                             12                            0                             31                            1018                          
FOREST PARK 4                 1248                          118                           20                            146                           0                             284                           233                           16                            247                           0                             496                           19                            0                             19                            0                             38                            818                           
FOREST PARK 5                 2566                          143                           11                            138                           1                             293                           564                           32                            507                           3                             1106                          23                            0                             20                            0                             43                            1442                          
FOREST PARK 6                 1022                          66                            17                            123                           1                             207                           169                           17                            213                           4                             403                           12                            1                             9                             0                             22                            632                           
JONESBORO 1                   3585                          79                            15                            186                           0                             280                           680                           76                            1177                          4                             1937                          29                            3                             34                            0                             66                            2283                          
JONESBORO 2                   3230                          52                            6                             135                           0                             193                           593                           55                            1138                          4                             1790                          14                            2                             25                            0                             41                            2024                          
