PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
NORTH PEACHTREE (DUN),701,26,328,345,2,54,2,15,37,0,334,23,137,174,0,1483,DeKalb
NORTHLAKE,690,37,396,257,0,64,0,20,44,0,319,24,132,163,0,1271,DeKalb
OAK GROVE ELEM,1008,72,520,414,2,81,5,26,50,0,537,41,209,286,1,1930,DeKalb
OAK VIEW ELEM,2575,57,1697,819,2,27,1,14,12,0,43,10,13,20,0,3735,DeKalb
OAKCLIFF ELEM,702,26,270,406,0,42,2,9,31,0,239,19,87,132,1,1452,DeKalb
OAKHURST (DEC),1872,116,929,826,1,85,2,35,47,1,192,9,86,97,0,2519,DeKalb
PANOLA,830,43,542,244,1,18,1,11,6,0,51,4,31,16,0,1182,DeKalb
PANOLA ROAD,1162,66,770,324,2,13,0,6,7,0,24,1,13,10,0,1632,DeKalb
PANOLA WAY ELEM,972,23,595,352,2,23,0,10,13,0,28,1,13,14,0,1650,DeKalb
PEACHCREST,987,31,547,409,0,28,1,17,10,0,80,8,30,42,0,1703,DeKalb
PEACHTREE MIDDLE (DUN),1422,80,862,475,5,91,5,42,44,0,591,48,303,239,1,2774,DeKalb
PINE LAKE (PIN),352,6,97,249,0,15,0,2,13,0,47,1,6,40,0,512,DeKalb
PINEY GROVE,917,27,464,421,5,28,0,11,17,0,40,1,18,21,0,1553,DeKalb
PLEASANTDALE ROAD,1670,48,861,753,8,54,3,21,30,0,329,20,182,127,0,3192,DeKalb
PONCE DE LEON (DEC),1510,82,859,568,1,53,2,16,34,1,178,4,66,108,0,2176,DeKalb
PRINCETON ELEM,1297,33,813,451,0,28,1,16,11,0,54,4,35,15,0,1811,DeKalb
RAINBOW ELEM,2169,73,1425,665,6,24,1,17,6,0,76,6,37,33,0,2979,DeKalb
REDAN ELEM,1709,49,1103,555,2,25,1,11,13,0,57,4,27,26,0,2427,DeKalb
REDAN MIDDLE,1377,40,984,352,1,24,1,10,13,0,70,1,46,23,0,1978,DeKalb
REDAN ROAD,1428,30,902,495,1,18,1,9,8,0,63,5,31,27,0,2171,DeKalb
REDAN-TROTTI LIBRARY,2056,53,1320,683,0,27,1,13,13,0,57,5,30,22,0,2996,DeKalb
REHOBOTH,981,59,577,344,1,79,3,26,50,0,434,28,223,183,0,1811,DeKalb
RENFROE MIDDLE (DEC),1071,46,575,450,0,51,0,12,39,0,99,2,34,63,0,1445,DeKalb
ROCK CHAPEL ELEM,1510,52,942,516,0,21,1,10,10,0,73,6,33,33,1,2161,DeKalb
ROCK CHAPEL ROAD,1996,53,1202,738,3,38,1,16,21,0,168,12,88,68,0,2948,DeKalb
ROCKBRIDGE,1518,45,930,532,11,45,1,22,22,0,136,11,78,47,0,2726,DeKalb
ROCKBRIDGE ROAD,2151,74,1449,626,2,30,1,10,19,0,98,6,51,40,1,2902,DeKalb
ROWLAND ELEM,1561,46,927,584,4,37,1,13,23,0,108,8,53,47,0,2810,DeKalb
ROWLAND ROAD,1047,41,600,403,3,21,0,4,17,0,107,9,41,57,0,1588,DeKalb
SAGAMORE HILLS ELEM,1391,117,753,521,0,97,6,32,59,0,741,81,315,345,0,2614,DeKalb
SALEM MIDDLE,2153,59,1505,588,1,23,3,13,7,0,69,9,35,24,1,2826,DeKalb
SCOTT,1315,88,728,496,3,78,6,29,43,0,303,25,122,156,0,2096,DeKalb
SHADOW ROCK ELEM,2473,94,1829,547,3,24,1,12,11,0,117,11,68,38,0,3370,DeKalb
SHAMROCK,790,34,481,274,1,49,1,14,34,0,298,27,138,133,0,1365,DeKalb
SHAW-ROBERT SHAW ELEM,1711,87,1027,593,4,95,7,41,47,0,248,12,128,107,1,2740,DeKalb
SILVER LAKE (BHAVN),1565,119,930,516,0,140,14,63,62,1,1332,72,743,517,0,3915,DeKalb
SKYLAND (BHAVN),666,33,317,313,3,94,4,34,55,1,516,27,211,277,1,1582,DeKalb
SMOKE RISE,813,54,549,209,1,46,2,17,27,0,679,60,348,271,0,1828,DeKalb
SNAPFINGER ELEM,1092,45,701,346,0,21,0,7,14,0,45,6,21,18,0,1524,DeKalb
SNAPFINGER ROAD N,1190,36,679,473,2,12,0,8,4,0,52,4,28,20,0,1927,DeKalb
SNAPFINGER ROAD S,1192,34,779,379,0,13,0,6,7,0,47,7,20,20,0,1610,DeKalb
SOUTH DESHON,1921,59,1199,660,3,28,1,17,10,0,51,6,18,27,0,2714,DeKalb
SOUTH HAIRSTON,1896,47,1125,718,6,18,0,11,7,0,89,3,49,37,0,2871,DeKalb
STEPHENSON HIGH,1877,75,1240,560,2,34,0,15,19,0,118,8,63,46,1,2695,DeKalb
STEPHENSON MIDDLE,2034,65,1342,621,6,39,1,23,15,0,126,4,71,51,0,2902,DeKalb
STN MTN MIDDLE,1048,23,554,460,11,29,0,11,18,0,88,5,47,36,0,2209,DeKalb
STONE MILL ELEM,1249,57,591,594,7,15,0,7,8,0,87,5,39,43,0,2463,DeKalb
STONE MOUNTAIN ELEM,1033,154,574,304,1,30,8,7,15,0,408,171,116,121,0,1904,DeKalb
STONE MTN CHAMPION (STO),1238,35,668,529,6,36,0,14,22,0,158,11,55,92,0,2223,DeKalb
STONE MTN LIBRARY  (STO),639,30,341,266,2,26,1,11,14,0,161,5,76,80,0,1209,DeKalb
STONEVIEW ELEM,767,47,423,295,2,8,0,5,3,0,47,3,20,23,1,1295,DeKalb
TERRY MILL,1406,70,834,501,1,29,3,10,16,0,56,3,20,33,0,2119,DeKalb
TILLY MILL ROAD (DUN),482,43,207,232,0,75,9,27,39,0,588,36,236,316,0,1363,DeKalb
TONEY ELEM,923,43,513,364,3,12,1,4,7,0,30,0,13,17,0,1372,DeKalb
TUCKER,1137,67,792,277,1,122,2,62,58,0,871,64,532,275,0,2611,DeKalb
TUCKER LIBRARY,1121,33,787,299,2,83,0,40,43,0,546,43,353,149,1,2245,DeKalb
VALLEY BROOK,471,10,214,246,1,37,1,6,29,1,149,5,54,90,0,814,DeKalb
WADSWORTH,1543,63,907,570,3,26,2,10,14,0,39,5,20,13,1,2404,DeKalb
WARREN TECH,524,41,230,253,0,31,0,6,25,0,260,15,91,154,0,1076,DeKalb
WESLEY CHAPEL LIBRARY,1885,63,1345,476,1,22,1,11,10,0,51,7,21,23,0,2470,DeKalb
WHITE OAK,1331,47,740,540,4,32,1,17,13,1,43,2,18,23,0,2156,DeKalb
WHITEFOORD ELEM (ATL),2021,111,1128,777,5,107,0,54,53,0,171,5,86,80,0,3138,DeKalb
WINNONA PARK ELEM (DEC),1305,58,641,605,1,48,0,20,28,0,135,6,40,89,0,1763,DeKalb
WINTERS CHAPEL (DUN),512,32,253,226,1,57,4,22,31,0,486,33,177,276,0,1248,DeKalb
WOODRIDGE ELEM,1802,69,1153,578,2,36,0,16,19,1,123,8,77,38,0,2830,DeKalb
WOODROW ROAD,3155,100,2023,1029,3,34,1,20,13,0,145,16,89,40,0,4871,DeKalb
WOODWARD (BHAVN),976,65,517,393,1,65,8,19,38,0,397,28,182,187,0,1893,DeKalb
WYNBROOKE ELEM,2079,75,1374,630,0,33,0,17,16,0,128,5,76,47,0,2842,DeKalb
YOUNG ROAD,1145,47,850,248,0,17,1,10,6,0,35,3,20,12,0,1562,DeKalb
