PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
ML06B,1032,36,652,344,0,92,4,51,37,0,710,40,442,228,0,2340,Fulton
ML071,32,3,16,13,0,3,0,3,0,0,45,0,23,22,0,84,Fulton
ML072,220,15,123,81,1,30,1,10,19,0,546,53,271,222,0,952,Fulton
ML07A,139,9,86,42,2,21,2,11,8,0,330,15,171,144,0,615,Fulton
MP01,161,4,31,126,0,20,0,0,20,0,151,4,22,124,1,408,Fulton
PA01,1077,29,600,444,4,33,2,19,12,0,390,16,243,131,0,2057,Fulton
RW01,1253,115,807,329,2,145,9,57,79,0,2034,174,1247,613,0,4176,Fulton
RW02,1232,61,789,381,1,173,7,92,73,1,1450,82,900,463,5,3443,Fulton
RW03,1445,59,888,493,5,150,9,63,78,0,1189,65,705,417,2,3605,Fulton
RW04,599,18,445,136,0,86,3,46,37,0,674,35,427,212,0,1634,Fulton
RW05,710,27,412,270,1,72,3,38,31,0,424,27,228,169,0,1739,Fulton
RW06,936,47,587,302,0,104,6,51,47,0,921,57,503,361,0,2459,Fulton
RW07A,532,13,263,251,5,40,0,19,21,0,111,1,65,45,0,1110,Fulton
RW07B,170,3,89,77,1,11,0,5,6,0,63,4,30,29,0,317,Fulton
RW08,527,66,309,151,1,78,8,37,33,0,960,91,569,298,2,1955,Fulton
RW09,1404,124,951,325,4,190,16,105,69,0,2761,200,1692,856,13,5303,Fulton
RW10,935,88,609,235,3,123,7,70,46,0,1361,104,814,440,3,2944,Fulton
RW11A,830,35,517,275,3,105,2,47,55,1,819,33,444,342,0,2250,Fulton
RW12,1627,93,1088,441,5,192,7,96,89,0,2555,172,1514,867,2,5256,Fulton
RW13,1061,49,654,355,3,158,5,80,73,0,1286,78,717,489,2,3127,Fulton
RW16,560,24,363,173,0,54,3,27,24,0,747,52,438,257,0,1641,Fulton
RW17,972,44,648,276,4,110,5,57,48,0,660,33,426,201,0,2351,Fulton
RW19,569,45,361,163,0,76,6,36,34,0,858,47,479,332,0,1834,Fulton
RW20,869,35,672,159,3,92,8,54,29,1,1039,43,740,255,1,2224,Fulton
RW21,819,50,572,197,0,112,4,67,41,0,1327,94,933,298,2,2833,Fulton
RW22A,1401,39,911,450,1,143,7,80,55,1,940,45,647,248,0,3384,Fulton
SC01B,2710,73,2204,431,2,27,0,22,5,0,86,4,67,15,0,3501,Fulton
SC02,625,29,501,94,1,9,0,7,2,0,20,1,14,5,0,780,Fulton
SC04,395,7,241,142,5,11,1,4,6,0,222,5,109,107,1,797,Fulton
SC05A,424,11,305,103,5,13,0,8,5,0,9,2,4,3,0,542,Fulton
SC05B,2018,48,1640,330,0,32,1,21,10,0,67,8,52,7,0,2699,Fulton
SC05D,1500,26,1121,349,4,25,1,15,9,0,135,11,101,23,0,2122,Fulton
SC07A,3071,72,2358,631,10,43,1,33,9,0,350,11,261,76,2,4442,Fulton
SC08B,1915,40,1315,553,7,38,0,17,21,0,63,6,40,17,0,2742,Fulton
SC08C,56,0,50,6,0,1,0,1,0,0,0,0,0,0,0,62,Fulton
SC08D,316,2,214,100,0,6,1,4,1,0,7,0,4,3,0,433,Fulton
SC08E,274,4,165,105,0,6,0,5,1,0,1,0,0,1,0,373,Fulton
SC08F,361,14,255,92,0,6,0,4,2,0,19,1,11,7,0,593,Fulton
SC08G,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,Fulton
SC09A,1752,42,1066,625,19,25,1,13,10,1,81,8,34,37,2,2725,Fulton
SC09B,1038,25,789,223,1,19,0,10,9,0,33,1,18,13,1,1392,Fulton
SC10,784,20,399,362,3,14,1,4,9,0,27,0,18,9,0,1436,Fulton
SC11A,828,19,502,305,2,8,0,4,4,0,23,2,12,9,0,1183,Fulton
SC11B,930,29,574,326,1,12,0,8,4,0,24,1,12,11,0,1325,Fulton
SC13,1479,39,1184,256,0,13,1,10,2,0,85,3,58,24,0,2041,Fulton
SC14,528,14,382,128,4,7,0,3,4,0,18,0,9,9,0,1079,Fulton
SC15,3905,110,3028,763,4,64,4,40,20,0,168,8,125,35,0,5207,Fulton
SC16,2873,96,2230,541,6,24,1,15,8,0,63,3,38,21,1,3759,Fulton
SC17A,35,0,27,8,0,0,0,0,0,0,0,0,0,0,0,48,Fulton
SC17C,647,21,511,115,0,9,0,6,3,0,28,1,16,11,0,954,Fulton
SC18A,305,15,245,45,0,5,0,4,1,0,11,2,4,5,0,429,Fulton
SC18B,3184,90,2657,435,2,39,2,27,10,0,101,8,71,22,0,4047,Fulton
SC19A,113,2,94,16,1,1,0,1,0,0,3,1,2,0,0,155,Fulton
SC19B,696,16,415,262,3,1,0,1,0,0,23,1,11,11,0,1102,Fulton
SC211,744,14,503,226,1,8,0,4,4,0,30,3,20,7,0,987,Fulton
SC212,1744,29,1240,474,1,31,0,23,8,0,112,4,70,38,0,2557,Fulton
SC23A,2951,54,1721,1172,4,34,2,13,19,0,92,3,42,47,0,4341,Fulton
SC23B,294,3,198,92,1,1,0,1,0,0,8,1,4,3,0,407,Fulton
SC27,1276,38,909,329,0,11,0,7,4,0,40,2,20,18,0,1871,Fulton
SC29A,1635,51,989,590,5,21,2,8,11,0,51,7,23,21,0,2352,Fulton
SC30A,91,18,58,12,3,2,0,2,0,0,2,0,1,1,0,122,Fulton
SC30B,570,14,359,196,1,11,0,5,6,0,10,1,3,6,0,858,Fulton
SS01,852,76,526,249,1,90,9,35,46,0,1278,90,702,486,0,2698,Fulton
SS02A,414,31,306,72,5,43,2,27,14,0,316,21,230,64,1,1017,Fulton
SS02B,539,24,401,114,0,43,2,29,11,1,197,8,146,43,0,1049,Fulton
SS03,492,28,324,140,0,61,4,27,30,0,430,15,251,163,1,1194,Fulton
SS04,1225,43,795,377,10,113,4,57,51,1,675,29,392,251,3,2703,Fulton
SS05,652,46,438,168,0,66,4,34,28,0,657,30,408,219,0,1629,Fulton
SS06,465,28,340,83,14,44,1,24,18,1,523,30,337,149,7,1203,Fulton
SS07A,265,40,176,49,0,29,3,16,10,0,361,69,214,78,0,821,Fulton
SS07B,180,19,121,40,0,28,0,12,16,0,152,10,91,51,0,456,Fulton
SS07C,246,59,126,61,0,18,4,6,8,0,234,55,126,53,0,686,Fulton
SS08A,502,21,306,173,2,39,0,14,25,0,266,11,140,114,1,1063,Fulton
SS08B,210,14,149,47,0,18,1,7,10,0,210,15,133,62,0,566,Fulton
SS08C,230,14,166,50,0,21,1,10,10,0,133,7,79,47,0,509,Fulton
SS08D,431,24,294,113,0,36,2,24,10,0,280,25,172,83,0,1001,Fulton
SS09A,969,112,652,205,0,92,4,55,33,0,1122,66,689,367,0,2713,Fulton
SS09B,1122,115,785,222,0,97,10,52,35,0,1266,77,854,334,1,3068,Fulton
SS11A,1383,86,839,450,8,124,5,59,59,1,914,68,472,368,6,3165,Fulton
SS11B,489,19,316,154,0,42,2,17,23,0,224,12,148,61,3,1009,Fulton
SS11C,117,3,61,53,0,6,0,2,4,0,33,2,20,11,0,222,Fulton
SS11D,103,13,62,28,0,15,2,7,6,0,130,5,97,28,0,297,Fulton
SS12,896,95,546,254,1,110,10,59,40,1,837,73,507,256,1,2290,Fulton
SS13A,487,18,269,198,2,49,2,20,25,2,462,12,203,246,1,1313,Fulton
SS13B,303,14,172,117,0,24,2,11,11,0,237,11,150,76,0,777,Fulton
SS14,390,28,260,102,0,54,2,20,32,0,578,29,323,226,0,1205,Fulton
SS15A,974,29,522,421,2,71,1,25,45,0,198,20,97,80,1,2011,Fulton
SS15B,608,21,353,233,1,38,0,14,24,0,308,13,161,134,0,1318,Fulton
SS16,655,44,439,172,0,75,5,32,37,1,834,59,446,328,1,1886,Fulton
SS17,1089,71,680,332,6,84,13,35,36,0,1169,73,726,370,0,3028,Fulton
SS18A,226,16,154,55,1,15,0,7,8,0,247,15,156,76,0,578,Fulton
SS18B,78,5,57,16,0,7,1,3,3,0,98,4,64,30,0,213,Fulton
