




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Kiokee Baptist Church-10      643                           576                           89.58%
Kiokee Baptist Church-12      1418                          1206                          85.05%
Lewis Methodist Church        3632                          3055                          84.11%
Woodlawn Baptist Church       1102                          924                           83.85%
Patriots Park                 3945                          3031                          76.83%
Harlem Middle School-10       460                           369                           80.22%
Harlem Middle School-12       1068                          813                           76.12%
Harlem Baptist Church-10      697                           587                           84.22%
Harlem Baptist Church-12      586                           474                           80.89%
Bessie Thomas Center          1556                          1278                          82.13%
Philadelphia Church           1667                          1270                          76.18%
Grovetown City Hall           2488                          1801                          72.39%
Grovetown Methodist Church    1723                          1207                          70.05%
G A Apostolic Church          1223                          987                           80.70%
Grovetown Middle School       2113                          1514                          71.65%
Warren Baptist Church - Grovetown1931                          1415                          73.28%
Eubank/Blanchard Center       1079                          909                           84.24%
Second Mt Carmel Bapt Church  592                           480                           81.08%
Damascus Baptist Church       798                           663                           83.08%
Col Cty Bd Of Edu             1769                          1429                          80.78%
Greenbrier High               2234                          1903                          85.18%
Redeemer Church               3440                          2858                          83.08%
Riverside Elementary          1166                          946                           81.13%
Grace Baptist Church          2675                          2217                          82.88%
Christ Sanctified             2041                          1601                          78.44%
Blanchard Park                1419                          1145                          80.69%
Mtz Col Fire Dept #4          1637                          1228                          75.02%
Belair Baptist Church         1979                          1581                          79.89%
Marvin Methodist Church       1571                          1224                          77.91%
Westside Bapt Church          1376                          1179                          85.68%
Trinity Bapt Church           973                           784                           80.58%
Abilene Baptist               1625                          1284                          79.02%
Augusta Christian             1855                          1476                          79.57%
Stevens Creek Elem            1439                          1221                          84.85%
Gospel Water Branch           1370                          1157                          84.45%
Genesis Church                1603                          1364                          85.09%
Stevens Creek Church          2320                          1959                          84.44%
Mtz Col Fire Hdqtr            1031                          799                           77.50%
Lakeside Middle               1604                          1249                          77.87%
Martinez Baptist              1423                          1083                          76.11%
Gold Cross EMS                1651                          1331                          80.62%
Church of our Savior          1895                          1439                          75.94%
West Acres Baptist            2075                          1673                          80.63%
Journey Comm. Church          700                           596                           85.14%
Wesley Methodist              2266                          1890                          83.41%
Col Cty Main Library          1563                          1238                          79.21%
Christ Church                 2362                          1973                          83.53%
Blue Ridge Elementary         1867                          1510                          80.88%
Christ The King Luth Ch       1842                          1532                          83.17%
Total:                        81492                         65428                         80.29%

                                                                                                                                                                                                                                 President of the United States
                                                            DONALD J. TRUMP                                                                                                                                       HILLARY CLINTON                                                                                                                                       GARY JOHNSON                                                                                                                                          
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Redeemer Church               3440                          671                           60                            1180                          0                             1911                          251                           43                            489                           0                             783                           60                            6                             32                            0                             98                            2792                          
Riverside Elementary          1166                          200                           36                            388                           0                             624                           74                            18                            175                           0                             267                           18                            1                             9                             0                             28                            919                           
Grace Baptist Church          2675                          461                           49                            823                           1                             1334                          228                           43                            496                           0                             767                           45                            3                             26                            0                             74                            2175                          
Christ Sanctified             2041                          396                           31                            682                           0                             1109                          163                           21                            212                           0                             396                           42                            7                             19                            0                             68                            1573                          
Blanchard Park                1419                          357                           50                            414                           1                             822                           114                           23                            120                           0                             257                           20                            2                             17                            0                             39                            1118                          
Mtz Col Fire Dept #4          1637                          381                           29                            319                           0                             729                           192                           26                            197                           0                             415                           38                            3                             20                            0                             61                            1205                          
Belair Baptist Church         1979                          400                           53                            586                           0                             1039                          172                           20                            263                           2                             457                           40                            3                             17                            0                             60                            1556                          
Marvin Methodist Church       1571                          410                           26                            334                           0                             770                           185                           16                            187                           0                             388                           35                            1                             13                            0                             49                            1207                          
Westside Bapt Church          1376                          398                           37                            424                           0                             859                           120                           19                            136                           0                             275                           21                            1                             10                            0                             32                            1166                          
Trinity Bapt Church           973                           300                           20                            276                           0                             596                           83                            7                             66                            0                             156                           16                            2                             3                             0                             21                            773                           
Abilene Baptist               1625                          387                           54                            438                           1                             880                           160                           18                            165                           0                             343                           23                            4                             13                            0                             40                            1263                          
Augusta Christian             1855                          411                           60                            496                           0                             967                           172                           32                            219                           0                             423                           36                            1                             21                            0                             58                            1448                          
Stevens Creek Elem            1439                          235                           48                            604                           0                             887                           83                            34                            173                           0                             290                           9                             4                             10                            0                             23                            1200                          
Gospel Water Branch           1370                          226                           19                            467                           0                             712                           153                           21                            218                           0                             392                           14                            0                             17                            0                             31                            1135                          
Genesis Church                1603                          305                           39                            582                           0                             926                           108                           37                            202                           0                             347                           22                            7                             19                            0                             48                            1321                          
Stevens Creek Church          2320                          303                           61                            984                           0                             1348                          127                           46                            350                           0                             523                           21                            3                             21                            0                             45                            1916                          
Mtz Col Fire Hdqtr            1031                          257                           14                            220                           0                             491                           124                           15                            130                           0                             269                           18                            3                             11                            0                             32                            792                           
Lakeside Middle               1604                          348                           15                            448                           1                             812                           148                           13                            187                           1                             349                           38                            3                             17                            0                             58                            1219                          
Martinez Baptist              1423                          353                           28                            295                           0                             676                           179                           23                            147                           0                             349                           19                            5                             21                            0                             45                            1070                          
Gold Cross EMS                1651                          284                           145                           533                           2                             964                           98                            38                            148                           0                             284                           26                            8                             19                            0                             53                            1301                          
Church of our Savior          1895                          403                           48                            425                           0                             876                           207                           40                            238                           1                             486                           29                            6                             15                            0                             50                            1412                          
