




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
SS18B                         213                           26                            8                             37                            38                            0                             0                             109                           20                            8                             33                            33                            0                             0                             94                            203                           
SS19A                         2527                          309                           43                            61                            700                           8                             0                             1121                          289                           41                            71                            624                           8                             0                             1033                          2154                          
SS19B                         1842                          190                           28                            100                           524                           7                             2                             851                           170                           25                            90                            477                           9                             2                             773                           1624                          
SS20                          1639                          208                           31                            100                           377                           16                            1                             733                           174                           29                            101                           329                           17                            0                             650                           1383                          
SS22                          2337                          365                           70                            152                           455                           16                            3                             1061                          334                           69                            134                           396                           16                            4                             953                           2014                          
SS25                          1428                          256                           66                            377                           45                            48                            0                             792                           219                           60                            314                           33                            41                            0                             667                           1459                          
SS26                          2850                          356                           37                            108                           624                           15                            1                             1141                          359                           40                            110                           577                           17                            1                             1104                          2245                          
SS29A                         2287                          370                           65                            460                           208                           10                            0                             1113                          324                           61                            428                           176                           6                             0                             995                           2108                          
SS31                          925                           98                            26                            304                           29                            7                             0                             464                           85                            29                            263                           24                            7                             0                             408                           872                           
UC01A                         2871                          413                           30                            13                            517                           144                           4                             1121                          375                           32                            9                             417                           117                           4                             954                           2075                          
UC01B                         342                           48                            1                             4                             75                            9                             1                             138                           38                            2                             3                             72                            10                            1                             126                           264                           
UC01E                         86                            14                            1                             1                             35                            1                             0                             52                            10                            1                             1                             35                            1                             0                             48                            100                           
UC02A                         5657                          699                           68                            38                            1251                          502                           3                             2561                          594                           57                            36                            1062                          431                           3                             2183                          4744                          
UC02B                         20                            3                             0                             0                             3                             4                             0                             10                            2                             0                             0                             3                             2                             0                             7                             17                            
UC031                         1960                          295                           46                            15                            279                           174                           5                             814                           255                           45                            11                            218                           132                           4                             665                           1479                          
UC032                         128                           28                            6                             1                             14                            12                            1                             62                            21                            6                             1                             9                             9                             1                             47                            109                           
Totals:                       590362                        96922                         13891                         87557                         43429                         35462                         644                           277905                        86760                         13436                         78035                         37795                         30706                         646                           247378                        525283                        

                                                                                           Constitutional Amendment #1<br>Provides greater flexibility and state accountability to fix failing schools through increasing community involvement.
                                                            YES                                                                                                                                                                                                               NO                                                                                                                                                                                                                
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person 1           Advance in Person 2           Advance in Person 3           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person 1           Advance in Person 2           Advance in Person 3           Provisional                   Choice Total                  Total                         
01A                           2714                          272                           43                            286                           29                            29                            4                             663                           708                           47                            624                           67                            67                            0                             1513                          2176                          
01B                           3337                          362                           32                            198                           28                            24                            0                             644                           1184                          43                            679                           60                            66                            0                             2032                          2676                          
01C                           1120                          132                           6                             55                            18                            8                             0                             219                           230                           9                             117                           24                            6                             0                             386                           605                           
01D                           430                           27                            5                             48                            9                             4                             0                             93                            82                            23                            83                            10                            8                             0                             206                           299                           
01E                           4652                          449                           43                            472                           36                            44                            5                             1049                          1020                          74                            1073                          78                            82                            5                             2332                          3381                          
01F                           981                           89                            4                             55                            4                             6                             0                             158                           202                           7                             82                            18                            4                             1                             314                           472                           
01H                           661                           95                            9                             53                            8                             4                             0                             169                           128                           5                             75                            18                            10                            0                             236                           405                           
01J                           2030                          207                           19                            179                           24                            8                             2                             439                           349                           17                            348                           57                            18                            4                             793                           1232                          
01P                           1000                          121                           14                            46                            9                             5                             0                             195                           273                           14                            89                            23                            4                             0                             403                           598                           
01R                           1107                          183                           2                             27                            5                             9                             3                             229                           230                           3                             63                            23                            3                             6                             328                           557                           
01S                           1391                          142                           7                             68                            27                            3                             4                             251                           295                           19                            159                           86                            10                            3                             572                           823                           
01T                           1196                          146                           7                             64                            8                             8                             0                             233                           302                           16                            167                           23                            17                            0                             525                           758                           
02A                           3211                          407                           102                           551                           36                            44                            0                             1140                          462                           70                            587                           38                            65                            2                             1224                          2364                          
02B                           2895                          289                           21                            195                           20                            28                            0                             553                           362                           16                            247                           42                            36                            1                             704                           1257                          
02C                           1725                          267                           20                            186                           17                            33                            7                             530                           374                           20                            244                           19                            53                            1                             711                           1241                          
02D                           3582                          500                           43                            354                           33                            63                            2                             995                           748                           49                            550                           59                            117                           2                             1525                          2520                          
02E                           1733                          237                           16                            135                           13                            21                            3                             425                           563                           31                            293                           21                            81                            2                             991                           1416                          
02F1                          2589                          324                           38                            315                           20                            40                            2                             739                           528                           35                            559                           33                            119                           1                             1275                          2014                          
02F2                          669                           97                            8                             68                            7                             10                            1                             191                           118                           10                            110                           9                             36                            1                             284                           475                           
02G                           2959                          395                           51                            330                           29                            108                           1                             914                           616                           29                            515                           44                            192                           1                             1397                          2311                          
02J                           1934                          249                           27                            198                           10                            23                            4                             511                           576                           34                            317                           12                            49                            5                             993                           1504                          
02K                           1246                          186                           18                            141                           4                             19                            0                             368                           373                           16                            199                           7                             30                            0                             625                           993                           
02L1                          4934                          724                           111                           720                           48                            84                            18                            1705                          938                           83                            749                           58                            120                           13                            1961                          3666                          
02L2                          971                           131                           20                            180                           7                             32                            1                             371                           165                           14                            133                           7                             32                            0                             351                           722                           
02S                           620                           69                            11                            45                            5                             3                             0                             133                           146                           7                             93                            20                            30                            0                             296                           429                           
02W                           422                           64                            3                             55                            7                             5                             0                             134                           87                            5                             54                            5                             6                             0                             157                           291                           
03A                           1673                          148                           10                            19                            53                            21                            3                             254                           276                           17                            36                            156                           44                            2                             531                           785                           
03B                           494                           46                            6                             10                            7                             5                             1                             75                            59                            12                            15                            24                            16                            1                             127                           202                           
03C                           1294                          89                            10                            14                            60                            20                            4                             197                           276                           38                            29                            166                           45                            0                             554                           751                           
03D                           837                           69                            8                             7                             19                            7                             0                             110                           145                           13                            28                            76                            30                            0                             292                           402                           
03E                           1776                          199                           7                             41                            55                            22                            5                             329                           361                           12                            70                            109                           52                            3                             607                           936                           
03F                           1647                          234                           27                            258                           22                            31                            0                             572                           280                           35                            229                           20                            31                            0                             595                           1167                          
03G                           602                           84                            9                             12                            7                             8                             2                             122                           111                           8                             26                            28                            22                            1                             196                           318                           
03H                           770                           55                            5                             16                            29                            20                            0                             125                           118                           28                            13                            81                            39                            0                             279                           404                           
03I                           1394                          287                           24                            68                            4                             48                            11                            442                           305                           13                            70                            6                             33                            5                             432                           874                           
03L                           478                           70                            2                             5                             11                            4                             0                             92                            82                            2                             9                             17                            9                             0                             119                           211                           
03M                           663                           117                           4                             14                            4                             37                            0                             176                           178                           7                             27                            14                            64                            2                             292                           468                           
03N                           1860                          267                           12                            67                            29                            43                            12                            430                           323                           9                             65                            46                            58                            4                             505                           935                           
03P1A                         3011                          437                           17                            313                           40                            138                           9                             954                           472                           29                            325                           36                            124                           5                             991                           1945                          
03P2                          26                            8                             2                             0                             0                             0                             2                             12                            7                             0                             1                             2                             0                             0                             10                            22                            
03S                           600                           53                            4                             3                             20                            12                            3                             95                            121                           7                             8                             79                            30                            1                             246                           341                           
03T                           1320                          164                           11                            76                            27                            10                            2                             290                           246                           9                             120                           62                            31                            4                             472                           762                           
04A                           981                           86                            4                             14                            39                            12                            0                             155                           188                           12                            40                            87                            29                            0                             356                           511                           
04B                           1924                          201                           16                            76                            67                            19                            9                             388                           323                           18                            139                           75                            23                            6                             584                           972                           
04C                           111                           7                             0                             1                             4                             4                             0                             16                            23                            0                             5                             14                            4                             0                             46                            62                            
04D                           1239                          108                           9                             14                            44                            12                            0                             187                           258                           28                            28                            177                           44                            0                             535                           722                           
04F                           1792                          199                           16                            105                           26                            42                            0                             388                           337                           14                            147                           34                            30                            0                             562                           950                           
04G                           667                           55                            1                             10                            25                            7                             0                             98                            128                           7                             20                            56                            9                             0                             220                           318                           
04I                           2328                          77                            16                            113                           18                            10                            0                             234                           127                           9                             133                           22                            15                            2                             308                           542                           
04J                           1113                          186                           7                             29                            17                            7                             2                             248                           118                           2                             23                            24                            10                            1                             178                           426                           
04K                           1952                          188                           25                            77                            71                            24                            2                             387                           430                           24                            150                           152                           51                            0                             807                           1194                          
04L                           1296                          140                           12                            40                            38                            14                            6                             250                           288                           13                            75                            135                           31                            5                             547                           797                           
04M                           637                           74                            2                             6                             20                            4                             0                             106                           157                           6                             10                            39                            9                             0                             221                           327                           
04S                           1820                          160                           11                            16                            99                            17                            0                             303                           447                           26                            35                            273                           56                            2                             839                           1142                          
04T                           922                           105                           3                             12                            49                            10                            0                             179                           201                           5                             27                            105                           26                            0                             364                           543                           
04V                           2264                          255                           15                            129                           39                            17                            0                             455                           453                           25                            218                           51                            18                            0                             765                           1220                          
04W                           1696                          354                           7                             26                            11                            17                            32                            447                           190                           7                             29                            12                            16                            17                            271                           718                           
04X1                          1525                          152                           11                            24                            76                            17                            7                             287                           311                           18                            62                            228                           58                            1                             678                           965                           
04X2                          608                           45                            4                             21                            32                            7                             1                             110                           100                           4                             28                            76                            23                            1                             232                           342                           
05A1                          2154                          252                           32                            185                           23                            14                            1                             507                           615                           34                            419                           43                            73                            2                             1186                          1693                          
05A2                          2209                          283                           17                            190                           24                            29                            0                             543                           599                           23                            421                           45                            56                            1                             1145                          1688                          
05B                           1475                          192                           15                            97                            16                            10                            5                             335                           336                           14                            163                           29                            37                            5                             584                           919                           
05C                           135                           17                            0                             11                            1                             11                            0                             40                            12                            2                             6                             1                             8                             2                             31                            71                            
05D                           312                           34                            2                             19                            1                             7                             10                            73                            24                            0                             14                            5                             6                             7                             56                            129                           
05F                           104                           10                            0                             17                            3                             3                             0                             33                            24                            2                             18                            0                             3                             0                             47                            80                            
05J                           527                           65                            9                             51                            8                             14                            3                             150                           131                           8                             81                            13                            24                            1                             258                           408                           
05K                           2203                          323                           20                            189                           24                            94                            14                            664                           380                           13                            207                           25                            89                            5                             719                           1383                          
06B                           1603                          244                           32                            175                           11                            23                            0                             485                           416                           21                            299                           11                            44                            1                             792                           1277                          
06D                           7478                          963                           173                           949                           44                            53                            2                             2184                          1583                          153                           1844                          63                            116                           2                             3761                          5945                          
